3135673,591020,1314
3135673,729687,1515
3170085,625265,1671
3170085,627825,521
3170085,628803,1833
3231186,563300,1572
3289128,621515,1113
3289128,623895,824
3289128,625123,1120
3327859,660030,1655
3327859,663333,681
3394143,726459,1589
3394143,728494,919
3491833,628088,1617
3491833,828438,1409
3553359,689672,1538
3553359,691797,741
3553359,694031,1586
3589357,725489,1669
3657657,656242,1926
3657657,795945,516
3657657,798261,1126
3729294,728098,1525
3729294,732645,651
3784819,783787,1295
3784819,786002,893
3880987,879559,1725
3880987,884237,1717
3896360,863224,1734
3896360,897489,804
3896360,899114,1766
3926940,893933,1525
3960887,859192,1487
3960887,930668,913
3960887,931094,1610
4003190,901370,1802
4003190,905357,1396
4034185,932291,1517
4034185,934742,883
4078345,976820,1436
4078345,980190,1485
4176343,877838,1485
4176343,1077348,756
4176343,1079096,937
4262515,792132,1070
4311496,840850,1592
4311496,843154,939
4311496,844021,1833
4348396,877666,1463
4348396,881344,1306
4439008,968591,1282
4439008,970281,738
4515098,891966,1079
4515098,1048180,537
4598691,807977,1505
4598691,977858,655
4598691,979347,598
4613550,822976,1636
4636964,799041,1444
4636964,849010,586
4636964,850244,1459
4685623,750362,1456
4685623,851828,1347
4720936,785279,1508
4720936,787547,508
4805547,699898,1537
4805547,873271,1345
4857258,648300,1476
4857258,753741,722
4857258,754886,1989
4923949,714677,1692
5002208,793181,1664
5002208,795347,551
5002208,796754,1174
5087088,877977,1596
5087088,882709,1817
5151851,812403,1359
5151851,945348,794
5206642,867230,1509
5206642,871180,1040
5297984,775084,1548
5297984,960684,988
5297984,962511,747
5378539,855571,1688
5447297,924292,1720
5447297,927046,918
5447297,928028,1771
5519758,996776,1590
5519758,999965,1861
5553145,962708,1656
5553145,1032292,838
5599241,916723,1183
5599241,1012868,836
5684631,1001874,1792
5684631,1004181,836
5684631,1005944,1240
5707490,1024626,1616
5745457,1062607,1406
5745457,1064551,779
5745457,1067216,1818
5782305,1024804,1589
5782305,1103211,1451
5818268,1061136,1202
5818268,1063083,907
5894285,984527,1214
5894285,1141205,605
5953417,925005,1548
5953417,1046201,560
5953417,1047222,1332
6016010,987677,1796
6061247,1032885,1808
6061247,1035523,729
6061247,1036356,827
6103158,1074829,1414
6103158,1078672,1508
6174848,1002576,1327
6174848,1148507,901
6215198,1042573,1678
6215198,1046292,948
6262360,1089929,1606
6262360,1092390,636
6262360,1094335,1809
6361844,1189150,1734
6380576,1169449,1848
6380576,1210011,530
6380576,1211776,780
6448035,1237140,1400
6448035,1240660,537
6464986,1253934,1641
6464986,1256522,934
6552133,1166216,1410
6552133,1345485,1731
6582104,1135962,1630
6582104,1198424,561
6582104,1200148,1617
6657425,1060768,1434
6672580,1075856,1752
6672580,1078074,515
6672580,1079299,1770
6762897,1166256,1262
6762897,1170084,707
6836657,1239897,1680
6836657,1242075,887
6847440,1228583,1057
6847440,1254854,1336
6940923,1321667,1911
6940923,1324256,559
6940923,1325234,1343
7031868,1229925,1301
7072529,1270393,1690
7072529,1272814,658
7072529,1273735,1870
7083004,1259252,1170
7083004,1285012,1152
7159634,1182614,1351
7159634,1338025,895
7245574,1268338,1756
7245574,1271950,1754
7272287,1295418,1345
7272287,1297384,557
7272287,1298602,1394
7362688,1204422,1525
7399031,1240537,1576
7399031,1243118,908
7399031,1245208,1561
7471399,1167315,1542
7471399,1316740,1187
7560755,1256623,1730
7560755,1259132,846
7645508,1170972,1860
7645508,1346234,1572
7692838,1218454,1260
7692838,1221094,594
7692838,1223093,547
7741184,1169246,1432
7779271,1207411,1749
7779271,1209210,970
7779271,1211862,1018
7857605,1128144,1489
7857605,1288847,611
7907471,1178063,1845
7907471,1180570,559
8001230,1271997,1214
8001230,1276395,1601
8083480,1354343,1492
8083480,1356330,894
8083480,1357287,1640
8139470,1296354,2978
