A=6148 B=8246 C=5724 X=759042343 Y=6103016685 Z=17629162868 M=8639
A=4602 B=7034 C=6731 X=489441514 Y=1716869373 Z=32445126072 M=4448
A=6496 B=8936 C=6048 X=346903059 Y=3169489437 Z=55066627133 M=6571
A=6305 B=7929 C=5441 X=766491858 Y=9929153259 Z=71976471598 M=4071
A=2470 B=7420 C=7597 X=186869969 Y=9728818417 Z=93613396156 M=9852
A=2397 B=5387 C=7251 X=107102094 Y=8756927159 Z=92100045401 M=4120
A=2465 B=6917 C=6119 X=163351777 Y=4587865767 Z=16235392025 M=6765
A=4160 B=9888 C=5689 X=777517406 Y=2835716824 Z=27047574005 M=1778
A=2509 B=6834 C=7235 X=977000575 Y=3399681701 Z=94572727350 M=3217
A=2844 B=8172 C=9915 X=331698524 Y=7123868165 Z=13186710457 M=1864
A=4424 B=9498 C=9620 X=746191274 Y=1343829573 Z=69410126639 M=6276
A=7412 B=3659 C=6011 X=201058819 Y=1420825403 Z=52632424700 M=1015
A=8018 B=6103 C=9483 X=887850647 Y=4538761673 Z=97375256576 M=9998
A=4593 B=5872 C=7337 X=218772913 Y=5371145697 Z=98679113654 M=5972
A=5614 B=3300 C=9355 X=632391603 Y=7595029917 Z=49905977987 M=7043
A=7575 B=5833 C=8427 X=840758090 Y=4408154884 Z=25208555268 M=3839
A=3848 B=4454 C=6354 X=507989425 Y=7092516923 Z=32086086974 M=2376
A=7434 B=7524 C=7325 X=485564351 Y=9793724208 Z=72493016601 M=2772
A=2336 B=7560 C=8716 X=531423498 Y=4855786635 Z=64617993289 M=7060
A=4984 B=8777 C=9013 X=138129395 Y=2647519129 Z=30529212951 M=6757
A=9903 B=7229 C=7112 X=980444742 Y=1024766147 Z=87205685898 M=6092
A=3005 B=8526 C=7326 X=544048929 Y=7286310106 Z=51069228126 M=7030
A=5749 B=6378 C=6138 X=724296806 Y=6751450566 Z=30900415513 M=2709
A=3547 B=4434 C=8856 X=415160856 Y=9137415266 Z=22688822534 M=7308
A=5064 B=9285 C=8204 X=747959038 Y=4035140320 Z=91113902330 M=2017
A=8457 B=4993 C=7824 X=229326733 Y=7096234314 Z=63102725807 M=5220
A=2736 B=3420 C=7042 X=217490206 Y=1038754453 Z=55493983730 M=3379
A=4585 B=5430 C=9166 X=716052618 Y=8698290161 Z=72312006162 M=2027
A=6977 B=7841 C=6170 X=586509530 Y=5774531502 Z=29241223906 M=9189
A=9261 B=6569 C=7257 X=120271691 Y=7565841646 Z=69775378858 M=5613
A=4272 B=4569 C=7918 X=200590649 Y=8158113730 Z=76534136099 M=1923
A=3927 B=6608 C=8789 X=438311934 Y=6857321595 Z=52330470770 M=3448
A=7933 B=9947 C=7714 X=547995218 Y=7773020909 Z=36117126635 M=6770
A=9429 B=8783 C=7157 X=288148743 Y=5330423424 Z=82970721185 M=5351
A=4515 B=4428 C=5949 X=387949268 Y=3969375468 Z=32404832942 M=3466
A=9465 B=4380 C=5333 X=518962579 Y=2442434974 Z=17402633553 M=8906
A=4584 B=3736 C=7314 X=680021914 Y=3389253939 Z=88094069590 M=8611
A=5535 B=8258 C=8470 X=423929980 Y=8280219114 Z=15329667560 M=3105
A=2992 B=8980 C=8926 X=485563335 Y=6516865607 Z=83796113965 M=2882
A=6154 B=5037 C=6249 X=144377762 Y=6115329100 Z=82550724527 M=2095
A=3232 B=6568 C=6289 X=253242727 Y=1003377011 Z=77166839458 M=3100
A=7487 B=9197 C=6878 X=477768294 Y=6181521910 Z=95886592085 M=9713
A=9525 B=8257 C=5671 X=230146450 Y=8635743027 Z=64828797215 M=5004
A=9479 B=5217 C=9840 X=994816926 Y=6991668576 Z=74142193725 M=3565
A=3707 B=9923 C=7646 X=632509341 Y=6744364051 Z=44356796872 M=5872
A=8411 B=4202 C=5399 X=340346427 Y=5827551125 Z=65515982301 M=5174
A=6909 B=9482 C=8493 X=661046998 Y=5568069230 Z=37701241619 M=7849
A=6855 B=5410 C=8002 X=763570623 Y=3082125898 Z=89140370244 M=1404
A=3849 B=4733 C=6950 X=719737382 Y=1315256674 Z=85553017244 M=5972
A=8393 B=5278 C=6212 X=169051635 Y=6714727108 Z=71009252351 M=5160
A=8210 B=7230 C=9689 X=564363672 Y=7666503357 Z=60056246256 M=2067
A=4514 B=5430 C=6785 X=243277651 Y=9474450887 Z=70104781094 M=2168
A=8802 B=5846 C=7556 X=785075347 Y=7791404346 Z=33915151758 M=7014
A=9584 B=4317 C=5150 X=833601568 Y=6582909699 Z=60185593125 M=7384
A=8971 B=4708 C=5615 X=122100687 Y=7395620904 Z=38438950069 M=8882
A=7994 B=3738 C=5505 X=528714720 Y=6863735538 Z=18191147903 M=7532
A=2547 B=3234 C=6327 X=677420522 Y=6116596519 Z=78941644971 M=8769
A=8733 B=4774 C=6167 X=736920367 Y=8793516283 Z=46748928055 M=5979
A=5375 B=4010 C=7003 X=699556443 Y=7000683812 Z=64095414415 M=7153
A=7463 B=8448 C=8021 X=901177079 Y=3837843944 Z=16936176235 M=2915
A=4749 B=9423 C=8596 X=871607024 Y=1819905783 Z=12821821414 M=2450
A=8966 B=5240 C=7616 X=316305023 Y=7601955679 Z=13196749719 M=8799
A=7853 B=8500 C=6100 X=260773711 Y=4339495589 Z=26454442116 M=9785
A=9919 B=6188 C=8703 X=336584858 Y=4619164133 Z=70322441724 M=3314
A=9902 B=5582 C=6069 X=891458287 Y=7436049534 Z=18458706193 M=3969
A=8921 B=3485 C=6386 X=539330784 Y=3139434009 Z=76771762505 M=3455
A=6028 B=3176 C=6732 X=964274017 Y=3273655386 Z=68266575633 M=7459
A=8779 B=9604 C=5855 X=326629002 Y=7717978043 Z=62973286892 M=4561
A=2901 B=6545 C=9646 X=956738912 Y=5010456705 Z=77050386207 M=7191
A=2925 B=4268 C=8694 X=609593019 Y=9463220930 Z=98498261913 M=1503
A=9570 B=7017 C=7162 X=624654011 Y=2640750672 Z=36783413622 M=9405
A=5993 B=6096 C=6698 X=904333703 Y=9622495423 Z=98643197759 M=6176
A=6219 B=5279 C=8296 X=312257848 Y=5733922146 Z=44060686050 M=4126
A=8012 B=7500 C=5193 X=389675856 Y=1008953915 Z=40775092249 M=7091
A=5062 B=7269 C=8650 X=942215180 Y=9146782517 Z=21273848967 M=7844
A=7126 B=7724 C=7505 X=707583403 Y=2669179824 Z=82478414079 M=5938
A=7047 B=8738 C=8373 X=414395855 Y=2737578813 Z=72237108704 M=7950
A=4528 B=7829 C=8572 X=157548357 Y=7801952922 Z=80273181980 M=2517
A=6438 B=3201 C=5866 X=951044806 Y=7100961096 Z=69803665960 M=9191
A=8060 B=5299 C=5050 X=714156861 Y=9955666753 Z=37486176449 M=2875
A=5178 B=6614 C=5901 X=135199512 Y=8923396344 Z=78961606409 M=1289
A=6893 B=9388 C=8711 X=843390354 Y=3390938860 Z=80515729418 M=5252
A=8492 B=9139 C=6273 X=212629147 Y=6185109534 Z=58622215486 M=7979
A=2398 B=4908 C=7926 X=105444997 Y=2211199688 Z=33648744937 M=8972
A=7712 B=3726 C=6047 X=579795053 Y=2910749074 Z=19633305342 M=9526
A=5715 B=6100 C=7239 X=472362025 Y=7309084267 Z=94267252627 M=7804
A=4735 B=3560 C=9365 X=481021449 Y=2085344047 Z=91513752738 M=4931
A=6253 B=6552 C=5728 X=580901044 Y=4163415559 Z=96809355610 M=4394
A=5085 B=4541 C=9510 X=599288746 Y=9928903884 Z=84821574706 M=9467
A=5151 B=7920 C=5369 X=195541646 Y=3307930833 Z=86208436928 M=2177
A=6559 B=9196 C=8536 X=384456826 Y=7116327963 Z=88897202748 M=9993
A=4117 B=7688 C=5035 X=373082684 Y=7095377913 Z=41741493829 M=4015
A=4964 B=4855 C=5052 X=386182309 Y=7798951807 Z=24360905745 M=3310
A=7820 B=4084 C=9240 X=719233426 Y=3021919456 Z=47252071431 M=2627
A=6153 B=5067 C=7373 X=466233337 Y=6325254754 Z=26695380562 M=1505
A=3787 B=7606 C=9078 X=397495522 Y=6825437021 Z=51427265834 M=5375
A=6441 B=5769 C=5309 X=244673590 Y=4817419594 Z=44523210932 M=6957
A=8135 B=9807 C=5148 X=945898953 Y=6404079449 Z=32976105781 M=4427
A=6642 B=5601 C=5312 X=229835423 Y=3078892000 Z=20540045731 M=2157
A=8444 B=4728 C=9789 X=664887090 Y=9565514134 Z=73215490530 M=4443
A=3631 B=9562 C=7206 X=224491518 Y=6045445924 Z=98864801686 M=7673
A=5318 B=6391 C=7903 X=745387874 Y=9944072640 Z=97923938029 M=9746
A=4763 B=8346 C=7822 X=275445316 Y=3936584134 Z=96423511665 M=2356
A=5502 B=5458 C=9311 X=305388862 Y=5166917764 Z=74491876225 M=3172
A=9559 B=7201 C=5669 X=792838739 Y=7800547480 Z=44515822496 M=2407
A=8994 B=9791 C=8923 X=555894368 Y=5152491040 Z=48516003393 M=2752
A=5490 B=8954 C=5130 X=297528626 Y=4283301091 Z=41693530081 M=6784
A=5526 B=5657 C=8624 X=673782472 Y=5137524307 Z=69165636015 M=2800
A=4501 B=7922 C=6181 X=553768722 Y=2930472868 Z=82844138508 M=6623
A=5226 B=4606 C=6467 X=125256185 Y=7690515101 Z=21995148288 M=6531
A=5720 B=9461 C=9431 X=252038637 Y=4067937768 Z=49883629243 M=7198
A=3249 B=8424 C=7108 X=321088126 Y=9818614595 Z=29045231047 M=6861
A=5732 B=8668 C=5345 X=123827202 Y=1727976797 Z=46097879847 M=1122
A=2558 B=6234 C=6907 X=260214723 Y=2765777773 Z=31254044705 M=9254
A=8224 B=5863 C=9097 X=539228877 Y=8596693718 Z=68960274638 M=9517
A=3605 B=8972 C=9786 X=562499870 Y=3997178815 Z=95546982699 M=7320
A=2108 B=6370 C=8004 X=336539596 Y=3296336746 Z=34603870078 M=1378
A=2004 B=5959 C=7254 X=925233246 Y=2138286332 Z=64363069580 M=9956
A=6332 B=9201 C=7422 X=917186262 Y=4508459486 Z=99349936824 M=9766
A=6407 B=3047 C=6850 X=588129731 Y=2308975698 Z=32108529811 M=6371
A=9270 B=9222 C=8187 X=306387170 Y=2197853065 Z=77353803295 M=8121
A=6006 B=8644 C=6807 X=231744343 Y=3314760893 Z=40043576081 M=8430
A=9008 B=6013 C=9453 X=448639641 Y=3720172700 Z=50004592606 M=1951
A=9817 B=5581 C=9972 X=299257574 Y=4936761229 Z=29354290456 M=5280
A=4201 B=6364 C=6169 X=459628750 Y=5936485895 Z=98421070318 M=5073
A=2919 B=7031 C=8815 X=223624495 Y=6239286043 Z=34827568416 M=8703
A=6431 B=4463 C=7031 X=653614632 Y=2852783308 Z=83130796236 M=3716
A=8833 B=6284 C=5164 X=778133604 Y=9033142101 Z=48228446217 M=3932
A=9738 B=6840 C=7053 X=202114775 Y=3445159290 Z=79021325984 M=2179
A=9521 B=6206 C=7999 X=894745834 Y=6748623022 Z=99783451016 M=5778
A=8498 B=3694 C=9402 X=507890645 Y=1270205551 Z=74350753774 M=1830
A=5128 B=6212 C=9474 X=417568701 Y=1762291747 Z=20047557579 M=6049
A=2685 B=5526 C=7237 X=766706974 Y=3431080763 Z=62718802287 M=4985
A=9353 B=4471 C=5229 X=458346625 Y=2399654374 Z=55614735738 M=8166
A=5103 B=6191 C=8491 X=847031636 Y=4459060888 Z=34414382598 M=3903
A=5824 B=8454 C=5270 X=991815545 Y=4360557799 Z=43049198494 M=6310
A=9939 B=9415 C=5201 X=241620306 Y=3688215387 Z=79652688744 M=5650
A=6215 B=3087 C=9531 X=570566575 Y=9123049760 Z=80184863498 M=2551
A=8821 B=8108 C=5021 X=414882328 Y=8230097669 Z=18304923874 M=8367
A=8083 B=7289 C=7808 X=611828022 Y=8726367255 Z=69264925838 M=6900
A=7390 B=8170 C=8729 X=628472597 Y=6914534836 Z=92037320262 M=3883
A=8430 B=6792 C=9312 X=803797484 Y=5071996966 Z=68962058532 M=5649
A=4493 B=4784 C=6144 X=975584368 Y=6574027339 Z=53986423120 M=1619
A=4712 B=3840 C=9517 X=690097450 Y=3985134674 Z=85435464181 M=4128
A=7303 B=9186 C=6590 X=583759334 Y=4820804336 Z=16861429695 M=2819
A=7882 B=6726 C=5935 X=330461239 Y=2308169775 Z=60627504750 M=9391
A=2141 B=8954 C=9614 X=825861847 Y=8682057739 Z=60561218374 M=1071
A=5820 B=8270 C=7879 X=374270412 Y=6754973550 Z=37321660001 M=2848
A=8799 B=8963 C=9721 X=568253369 Y=1858303309 Z=92612546664 M=6310
A=4094 B=9756 C=7777 X=213095601 Y=2344073222 Z=26217568630 M=9288
A=7796 B=4366 C=9716 X=197383685 Y=8974792426 Z=48016465398 M=7870
A=8738 B=6037 C=6555 X=403725292 Y=7137249258 Z=18361933742 M=4679
A=4612 B=3837 C=9597 X=324391282 Y=9278909952 Z=27464107220 M=4938
A=2065 B=7328 C=8327 X=742390520 Y=5154261360 Z=19251701090 M=8205
A=5904 B=3827 C=8051 X=836729030 Y=7928165204 Z=94921533338 M=2117
A=5993 B=4753 C=8904 X=803863899 Y=6783857449 Z=62107993137 M=7360
A=7527 B=9369 C=7966 X=387351911 Y=7681262564 Z=40507895957 M=8599
A=5873 B=3218 C=7575 X=997513476 Y=8858019256 Z=50226022161 M=7370
A=6883 B=4780 C=8064 X=336893451 Y=8496615482 Z=43105361996 M=4326
A=8421 B=5470 C=8551 X=156559283 Y=6979368079 Z=27249792948 M=9843
A=8433 B=5765 C=7885 X=881422117 Y=7397432664 Z=58244728361 M=5886
A=4017 B=7442 C=5019 X=619619497 Y=8453461347 Z=55323599716 M=5210
A=4181 B=7558 C=5715 X=142932915 Y=1635474431 Z=69876496194 M=6167
A=8801 B=3970 C=5440 X=235398433 Y=4935287669 Z=90902094328 M=8984
A=9100 B=9057 C=9837 X=254254990 Y=8488281657 Z=63127034958 M=9913
A=3947 B=7806 C=8202 X=202435088 Y=6800113431 Z=14459293787 M=1356
A=2877 B=8474 C=7374 X=976092438 Y=6785579776 Z=37737157755 M=8709
A=7265 B=3270 C=7724 X=828632165 Y=9011314890 Z=17068271774 M=3373
A=6295 B=5421 C=8734 X=308807663 Y=7290052735 Z=36424109562 M=6591
A=9931 B=8709 C=5242 X=643582946 Y=2695618568 Z=63672553186 M=5254
A=5593 B=9436 C=5558 X=353455720 Y=9278634860 Z=39094893869 M=1435
A=2074 B=3547 C=7554 X=866800885 Y=6765975398 Z=95544561853 M=4059
A=9634 B=5888 C=6577 X=142622734 Y=1172417680 Z=27516771282 M=8166
A=2777 B=4333 C=7708 X=850766892 Y=7387300706 Z=93594270220 M=4690
A=7504 B=9539 C=7572 X=268822558 Y=5420422590 Z=95630419899 M=1941
A=2716 B=8715 C=5178 X=261114643 Y=1233880039 Z=68153343329 M=8773
A=3725 B=5323 C=6429 X=629974972 Y=3533696561 Z=18327973066 M=6986
A=3877 B=8863 C=6286 X=520450609 Y=9686017056 Z=23587048970 M=1590
A=5296 B=3982 C=8379 X=993880836 Y=2224124840 Z=39195745735 M=5869
A=9414 B=5338 C=5700 X=540160664 Y=1074728805 Z=23954696053 M=3842
A=6322 B=8801 C=7607 X=834788592 Y=1519515148 Z=62351602772 M=9724
A=3540 B=5048 C=8771 X=169139018 Y=5115299445 Z=20475456325 M=7942
A=4212 B=3442 C=7461 X=184491991 Y=7141750621 Z=38382134027 M=3397
A=5933 B=3837 C=9049 X=837859363 Y=1316825550 Z=49929490946 M=2829
A=8918 B=9792 C=9906 X=326805935 Y=8985851708 Z=26521735004 M=6421
A=9984 B=6564 C=7390 X=235889676 Y=1672035044 Z=47152132241 M=7777
A=5700 B=4488 C=8922 X=907260174 Y=6495189759 Z=30631097076 M=6860
A=6204 B=8063 C=6664 X=764015907 Y=7088372641 Z=72945673404 M=3669
A=2392 B=7824 C=5538 X=483853788 Y=5150369104 Z=42603278997 M=1698
A=8473 B=9917 C=9876 X=313728939 Y=9184468382 Z=14723281228 M=7253
A=8787 B=6802 C=5428 X=740806612 Y=4513417937 Z=14773743604 M=8757
A=4633 B=5119 C=6072 X=601778917 Y=6395834904 Z=10831792086 M=8772
A=4162 B=5491 C=6724 X=886994088 Y=6337102173 Z=89804037051 M=9666
A=5629 B=4976 C=8823 X=242349862 Y=4900882821 Z=42478840090 M=3491
A=5521 B=3892 C=8027 X=171909853 Y=9468189014 Z=20604026997 M=1381
A=2469 B=5284 C=8474 X=189572089 Y=8460252119 Z=65335097373 M=5736
